靡ㄩ絏	虏嘿	るら	Μ絃基(じ)
M2300  	筿摸计   	19990901	   385.3500
M2300  	筿摸计   	19990902	   383.6700
M2300  	筿摸计   	19990903	   377.7300
M2300  	筿摸计   	19990904	   379.5800
M2300  	筿摸计   	19990906	   386.6300
M2300  	筿摸计   	19990907	   374.6500
M2300  	筿摸计   	19990908	   378.0900
M2300  	筿摸计   	19990909	   379.3900
M2300  	筿摸计   	19990910	   381.3100
M2300  	筿摸计   	19990913	   382.2400
M2300  	筿摸计   	19990914	   376.6700
M2300  	筿摸计   	19990915	   371.0000
M2300  	筿摸计   	19990916	   370.3600
M2300  	筿摸计   	19990917	   368.1300
M2300  	筿摸计   	19990918	   374.7000
M2300  	筿摸计   	19990920	   372.7000
M2300  	筿摸计   	19990927	   360.5600
M2300  	筿摸计   	19990928	   350.6400
M2300  	筿摸计   	19990929	   354.7200
M2300  	筿摸计   	19990930	   356.6600
M2300  	筿摸计   	19991001	   357.2800
M2300  	筿摸计   	19991002	   350.1900
M2300  	筿摸计   	19991004	   350.2800
M2300  	筿摸计   	19991005	   345.3600
M2300  	筿摸计   	19991006	   346.0200
M2300  	筿摸计   	19991007	   354.1800
M2300  	筿摸计   	19991008	   351.2200
M2300  	筿摸计   	19991011	   356.6400
M2300  	筿摸计   	19991012	   370.8100
M2300  	筿摸计   	19991013	   371.0100
M2300  	筿摸计   	19991014	   375.1600
M2300  	筿摸计   	19991015	   371.0300
M2300  	筿摸计   	19991016	   370.1200
M2300  	筿摸计   	19991018	   367.7000
M2300  	筿摸计   	19991019	   365.2000
M2300  	筿摸计   	19991020	   362.8100
M2300  	筿摸计   	19991021	   362.2100
M2300  	筿摸计   	19991022	   356.6900
M2300  	筿摸计   	19991025	   362.9300
M2300  	筿摸计   	19991026	   363.7700
M2300  	筿摸计   	19991027	   366.4200
M2300  	筿摸计   	19991028	   366.4100
M2300  	筿摸计   	19991029	   371.8900
M2300  	筿摸计   	19991030	   382.9100
M2300  	筿摸计   	19991101	   381.9600
M2300  	筿摸计   	19991102	   377.3000
M2300  	筿摸计   	19991103	   370.1400
M2300  	筿摸计   	19991104	   367.5800
M2300  	筿摸计   	19991105	   370.2000
M2300  	筿摸计   	19991106	   367.8400
M2300  	筿摸计   	19991108	   366.7700
M2300  	筿摸计   	19991109	   366.5200
M2300  	筿摸计   	19991110	   367.0100
